Brand,Model,Variant,Engine CC,Power,Torque,Mileage,Fuel Tank,Weight,Seat Height,Ground Clearance,ABS,Traction Control,Bluetooth,Navigation,Quick Shifter,Riding Modes,Tyre Type,Transmission,Fuel Type,Cooling Type,Price,Top Speed,Maintenance Cost,Resale Score,Reliability Score,Comfort Score,Touring Score,Highway Score,City Score,Off-road Score,Beginner Friendly,Sport Score,Adventure Score,Cruiser Score,Street Score,Scooter Score,Manufacturer,Launch Year
Royal Enfield,Classic 350,Standard (2018),349,20.2 bhp,27 Nm,35,13.0,195,805,170,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,220000,114,500,9,9,9,8,8,9,2,Yes,3,2,9,6,1,Royal Enfield,2018
Royal Enfield,Bullet 350,Standard (2018),349,20.2 bhp,27 Nm,37,13.0,191,805,170,Single Channel,No,No,No,No,No,Tubed,Manual,Petrol,Air Cooled,175000,110,450,9,9,8,7,7,8,1,Yes,2,2,8,5,1,Royal Enfield,2018
Royal Enfield,Meteor 350,Standard (2018),349,20.2 bhp,27 Nm,35,15.0,191,765,170,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,205000,120,550,8,9,9,9,8,8,1,Yes,2,2,10,6,1,Royal Enfield,2018
Royal Enfield,Himalayan 450,Standard (2018),452,40.0 bhp,40 Nm,30,17.0,196,825,230,Dual Channel,No,Yes,Yes,No,Yes,Tubeless,Manual,Petrol,Liquid Cooled,285000,140,800,8,8,8,9,9,7,8,No,3,10,4,6,1,Royal Enfield,2018
Royal Enfield,Hunter 350,Standard (2018),349,20.2 bhp,27 Nm,36,13.0,181,790,150,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,150000,114,450,9,9,8,7,7,9,1,Yes,3,2,7,8,1,Royal Enfield,2018
Royal Enfield,Interceptor 650,Standard (2018),648,47.0 bhp,52 Nm,24,13.7,202,804,174,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Oil Cooled,305000,160,1100,7,9,7,8,9,6,1,No,5,2,8,7,1,Royal Enfield,2018
KTM,Duke 125,Standard (2018),124,14.5 bhp,12 Nm,40,13.4,159,822,175,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,178000,112,700,7,8,7,5,6,8,1,Yes,8,1,3,9,1,KTM,2018
KTM,Duke 200,Standard (2018),199,25.0 bhp,19.3 Nm,35,13.4,159,822,175,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,196000,130,800,8,8,7,6,7,8,1,Yes,8,2,3,9,1,KTM,2018
KTM,Duke 250,Standard (2018),248,30.0 bhp,24 Nm,32,13.5,162,822,176,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,239000,142,900,7,8,8,7,8,8,1,Intermediate,8,3,4,9,1,KTM,2018
KTM,Duke 390,Standard (2018),373,43.5 bhp,37 Nm,28,15.0,171,800,151,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,311000,165,1200,8,8,7,7,8,8,1,No,9,4,3,9,1,KTM,2018
KTM,RC 200,Standard (2018),199,25.0 bhp,19.2 Nm,35,13.7,160,824,158,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,218000,135,900,7,8,6,5,6,7,1,Intermediate,9,1,2,7,1,KTM,2018
KTM,RC 390,Standard (2018),373,43.5 bhp,37 Nm,28,13.7,172,824,158,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,318000,169,1300,8,8,6,6,8,6,1,No,10,2,2,6,1,KTM,2018
Yamaha,R15 V4,Standard (2018),155,18.4 bhp,14.2 Nm,45,11.0,141,815,170,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,182000,140,600,9,9,7,6,7,8,1,Yes,9,2,2,8,1,Yamaha,2018
Yamaha,MT-15 V2,Standard (2018),155,18.4 bhp,14.1 Nm,48,10.0,139,810,170,Dual Channel,Yes,Yes,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,168000,130,550,9,9,7,6,7,9,1,Yes,8,2,2,9,1,Yamaha,2018
Yamaha,FZ-S FI,Standard (2018),149,12.4 bhp,13.3 Nm,50,13.0,135,790,165,Single Channel,No,Yes,No,No,No,Tubeless,Manual,Petrol,Air Cooled,122000,112,400,8,9,8,7,7,9,1,Yes,4,2,5,8,1,Yamaha,2018
Yamaha,FZ-X,Standard (2018),149,12.4 bhp,13.3 Nm,48,10.0,139,780,165,Single Channel,No,Yes,No,No,No,Tubeless,Manual,Petrol,Air Cooled,136000,110,450,7,9,8,7,7,8,2,Yes,3,2,6,8,1,Yamaha,2018
Bajaj,Pulsar 125,Standard (2018),124,11.8 bhp,10.8 Nm,52,11.5,140,790,165,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,90000,105,300,8,9,8,6,6,9,1,Yes,3,1,4,8,1,Bajaj,2018
Bajaj,Pulsar 150,Standard (2018),149,14.0 bhp,13.2 Nm,50,15.0,150,785,165,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,115000,115,400,8,9,8,7,7,8,1,Yes,4,1,4,8,1,Bajaj,2018
